s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_Example,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-1.7338611E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7338611E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775313E+000
 6.1022437E-001, 0.0000000E+000,-2.3533928E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4942597E-004, 0.0000000E+000, 0.0000000E+000,-3.7295990E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775313E+000
 1.2204487E+000, 0.0000000E+000,-2.3493111E-005, 0.0000000E+000,-1.1708635E-008, 0.0000000E+000,-9.3028760E-006, 0.0000000E+000,-3.2704022E-005,-3.2807695E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775376E+000
 1.8306731E+000, 0.0000000E+000,-9.9603543E-006, 0.0000000E+000,-2.3186645E-008, 0.0000000E+000,-6.6077558E-006, 0.0000000E+000,-3.2668893E-005,-1.6591297E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775439E+000
 2.4408975E+000, 0.0000000E+000,-9.9431783E-006, 0.0000000E+000,-3.5105627E-008, 0.0000000E+000,-3.9175037E-006, 0.0000000E+000,-1.3769029E-005,-1.3895788E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775466E+000
 3.0511217E+000, 0.0000000E+000,-9.9260138E-006, 0.0000000E+000,-4.7029752E-008, 0.0000000E+000,-3.9156219E-006, 0.0000000E+000,-1.3762326E-005,-1.3888665E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775493E+000
 3.6613462E+000, 0.0000000E+000,-4.0207662E-006, 0.0000000E+000,-5.7602368E-008, 0.0000000E+000,-2.7421531E-006, 0.0000000E+000,-1.3755140E-005,-6.8205217E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775519E+000
 4.2715707E+000, 0.0000000E+000,-4.0138953E-006, 0.0000000E+000,-7.0250158E-008, 0.0000000E+000,-1.5717164E-006, 0.0000000E+000,-5.5181392E-006,-5.6558618E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775530E+000
 4.8817949E+000, 0.0000000E+000,-4.0070111E-006, 0.0000000E+000,-8.3838065E-008, 0.0000000E+000,-1.5749035E-006, 0.0000000E+000,-5.5286318E-006,-5.6657528E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775541E+000
 5.4920192E+000, 0.0000000E+000,-1.6335061E-006, 0.0000000E+000,-9.8036608E-008, 0.0000000E+000,-1.1076922E-006, 0.0000000E+000,-5.5403270E-006,-2.8392349E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775551E+000
 6.1022434E+000, 0.0000000E+000,-1.6307164E-006, 0.0000000E+000,-1.1386962E-007, 0.0000000E+000,-6.4190133E-007, 0.0000000E+000,-2.2455379E-006,-2.3864873E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775556E+000
 6.7124681E+000, 0.0000000E+000,-1.6278995E-006, 0.0000000E+000,-1.2914224E-007, 0.0000000E+000,-6.4742866E-007, 0.0000000E+000,-2.2652670E-006,-2.4044704E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775560E+000
 7.3226924E+000, 0.0000000E+000,-7.5979423E-007, 0.0000000E+000,-1.4259519E-007, 0.0000000E+000,-4.8002883E-007, 0.0000000E+000,-2.2832456E-006,-1.3824183E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775564E+000
 7.9329166E+000, 0.0000000E+000,-7.5843757E-007, 0.0000000E+000,-1.5728256E-007, 0.0000000E+000,-3.1340289E-007, 0.0000000E+000,-1.0911225E-006,-1.2291230E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775567E+000
 8.5431414E+000, 0.0000000E+000,-7.5705330E-007, 0.0000000E+000,-1.7192604E-007, 0.0000000E+000,-3.1909252E-007, 0.0000000E+000,-1.1112011E-006,-1.2480719E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775569E+000
 9.1533651E+000, 0.0000000E+000,-4.7316678E-007, 0.0000000E+000,-1.8667196E-007, 0.0000000E+000,-2.6864034E-007, 0.0000000E+000,-1.1313301E-006,-9.2847907E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775571E+000
 9.7635899E+000, 0.0000000E+000,-4.7222183E-007, 0.0000000E+000,-2.0009860E-007, 0.0000000E+000,-2.1769771E-007, 0.0000000E+000,-7.5549345E-007,-8.9001814E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775572E+000
 1.0000000E+001, 0.0000000E+000,-4.7184955E-007, 0.0000000E+000,-2.0465710E-007, 0.0000000E+000,-2.1907218E-007, 0.0000000E+000,-7.6699603E-007,-8.9557883E-007, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6775573E+000
